"horizon","simulations","subjects","betas","poisson","policies","subpolicies","regret"
"10000","100","50","Beta(1.5,1.5)","Uniform","EG","Partial",405.71
"10000","100","50","Beta(1.5,1.5)","Uniform","EG","Pooled",1271.4
"10000","100","50","Beta(1.5,1.5)","Uniform","EG","Unpooled",429.44
"10000","100","50","Beta(1.5,1.5)","Uniform","UCB","Partial",426.01
"10000","100","50","Beta(1.5,1.5)","Uniform","UCB","Pooled",1294.06
"10000","100","50","Beta(1.5,1.5)","Uniform","UCB","Unpooled",413.74
"10000","100","50","Beta(1.5,1.5)","Uniform","Thompson","Partial",202.43
"10000","100","50","Beta(1.5,1.5)","Uniform","Thompson","Pooled",1256.98
"10000","100","50","Beta(1.5,1.5)","Uniform","Thompson","Unpooled",280.83
"10000","100","100","Beta(1.5,1.5)","Uniform","EG","Partial",535.01
"10000","100","100","Beta(1.5,1.5)","Uniform","EG","Pooled",1346.17
"10000","100","100","Beta(1.5,1.5)","Uniform","EG","Unpooled",597.04
"10000","100","100","Beta(1.5,1.5)","Uniform","UCB","Partial",542.83
"10000","100","100","Beta(1.5,1.5)","Uniform","UCB","Pooled",1357.01
"10000","100","100","Beta(1.5,1.5)","Uniform","UCB","Unpooled",545.12
"10000","100","100","Beta(1.5,1.5)","Uniform","Thompson","Partial",298.88
"10000","100","100","Beta(1.5,1.5)","Uniform","Thompson","Pooled",1332.69
"10000","100","100","Beta(1.5,1.5)","Uniform","Thompson","Unpooled",432.14
"10000","100","500","Beta(1.5,1.5)","Uniform","EG","Partial",888.24
"10000","100","500","Beta(1.5,1.5)","Uniform","EG","Pooled",1428.49
"10000","100","500","Beta(1.5,1.5)","Uniform","EG","Unpooled",1153.43
"10000","100","500","Beta(1.5,1.5)","Uniform","UCB","Partial",851.01
"10000","100","500","Beta(1.5,1.5)","Uniform","UCB","Pooled",1445.66
"10000","100","500","Beta(1.5,1.5)","Uniform","UCB","Unpooled",846.61
"10000","100","500","Beta(1.5,1.5)","Uniform","Thompson","Partial",761.57
"10000","100","500","Beta(1.5,1.5)","Uniform","Thompson","Pooled",1425.72
"10000","100","500","Beta(1.5,1.5)","Uniform","Thompson","Unpooled",1062.83
"10000","100","1000","Beta(1.5,1.5)","Uniform","EG","Partial",995.79
"10000","100","1000","Beta(1.5,1.5)","Uniform","EG","Pooled",1423.68
"10000","100","1000","Beta(1.5,1.5)","Uniform","EG","Unpooled",1283.6
"10000","100","1000","Beta(1.5,1.5)","Uniform","UCB","Partial",975.56
"10000","100","1000","Beta(1.5,1.5)","Uniform","UCB","Pooled",1430.64
"10000","100","1000","Beta(1.5,1.5)","Uniform","UCB","Unpooled",972.08
"10000","100","1000","Beta(1.5,1.5)","Uniform","Thompson","Partial",1057.78
"10000","100","1000","Beta(1.5,1.5)","Uniform","Thompson","Pooled",1413.54
"10000","100","1000","Beta(1.5,1.5)","Uniform","Thompson","Unpooled",1283.76
"10000","100","50","Beta(5,5)","Uniform","EG","Partial",344.04
"10000","100","50","Beta(5,5)","Uniform","EG","Pooled",780.81
"10000","100","50","Beta(5,5)","Uniform","EG","Unpooled",348.31
"10000","100","50","Beta(5,5)","Uniform","UCB","Partial",380.1
"10000","100","50","Beta(5,5)","Uniform","UCB","Pooled",793.69
"10000","100","50","Beta(5,5)","Uniform","UCB","Unpooled",383.75
"10000","100","50","Beta(5,5)","Uniform","Thompson","Partial",223.74
"10000","100","50","Beta(5,5)","Uniform","Thompson","Pooled",764.6
"10000","100","50","Beta(5,5)","Uniform","Thompson","Unpooled",236.67
"10000","100","100","Beta(5,5)","Uniform","EG","Partial",459.73
"10000","100","100","Beta(5,5)","Uniform","EG","Pooled",817.49
"10000","100","100","Beta(5,5)","Uniform","EG","Unpooled",456.29
"10000","100","100","Beta(5,5)","Uniform","UCB","Partial",452.36
"10000","100","100","Beta(5,5)","Uniform","UCB","Pooled",829.52
"10000","100","100","Beta(5,5)","Uniform","UCB","Unpooled",461.88
"10000","100","100","Beta(5,5)","Uniform","Thompson","Partial",336.63
"10000","100","100","Beta(5,5)","Uniform","Thompson","Pooled",807.39
"10000","100","100","Beta(5,5)","Uniform","Thompson","Unpooled",315.55
"10000","100","500","Beta(5,5)","Uniform","EG","Partial",664.59
"10000","100","500","Beta(5,5)","Uniform","EG","Pooled",852.65
"10000","100","500","Beta(5,5)","Uniform","EG","Unpooled",737.75
"10000","100","500","Beta(5,5)","Uniform","UCB","Partial",623.11
"10000","100","500","Beta(5,5)","Uniform","UCB","Pooled",844.64
"10000","100","500","Beta(5,5)","Uniform","UCB","Unpooled",613.29
"10000","100","500","Beta(5,5)","Uniform","Thompson","Partial",638.8
"10000","100","500","Beta(5,5)","Uniform","Thompson","Pooled",838.66
"10000","100","500","Beta(5,5)","Uniform","Thompson","Unpooled",637.71
"10000","100","1000","Beta(5,5)","Uniform","EG","Partial",731.18
"10000","100","1000","Beta(5,5)","Uniform","EG","Pooled",846.66
"10000","100","1000","Beta(5,5)","Uniform","EG","Unpooled",807.21
"10000","100","1000","Beta(5,5)","Uniform","UCB","Partial",683.28
"10000","100","1000","Beta(5,5)","Uniform","UCB","Pooled",855.19
"10000","100","1000","Beta(5,5)","Uniform","UCB","Unpooled",687.31
"10000","100","1000","Beta(5,5)","Uniform","Thompson","Partial",772.27
"10000","100","1000","Beta(5,5)","Uniform","Thompson","Pooled",860.56
"10000","100","1000","Beta(5,5)","Uniform","Thompson","Unpooled",768.65
