"horizon","simulations","subjects","betas","poisson","policies","subpolicies","regret","ci"
"10000","100","50","Beta(1.5,1.5)","Uniform","EG","Partial",405.71,17.133044984598
"10000","100","50","Beta(1.5,1.5)","Uniform","EG","Pooled",1271.4,41.2045364404183
"10000","100","50","Beta(1.5,1.5)","Uniform","EG","Unpooled",429.44,20.5337310828402
"10000","100","50","Beta(1.5,1.5)","Uniform","UCB","Partial",426.01,12.7042022310499
"10000","100","50","Beta(1.5,1.5)","Uniform","UCB","Pooled",1294.06,40.8542088249507
"10000","100","50","Beta(1.5,1.5)","Uniform","UCB","Unpooled",413.74,10.3670614148987
"10000","100","50","Beta(1.5,1.5)","Uniform","Thompson","Partial",202.43,21.7551677977906
"10000","100","50","Beta(1.5,1.5)","Uniform","Thompson","Pooled",1256.98,45.6470314895044
"10000","100","50","Beta(1.5,1.5)","Uniform","Thompson","Unpooled",280.83,13.4165212517154
"10000","100","100","Beta(1.5,1.5)","Uniform","EG","Partial",535.01,20.6913353299971
"10000","100","100","Beta(1.5,1.5)","Uniform","EG","Pooled",1346.17,30.4443412527272
"10000","100","100","Beta(1.5,1.5)","Uniform","EG","Unpooled",597.04,21.6700421986088
"10000","100","100","Beta(1.5,1.5)","Uniform","UCB","Partial",542.83,11.8972683992049
"10000","100","100","Beta(1.5,1.5)","Uniform","UCB","Pooled",1357.01,28.6205654376826
"10000","100","100","Beta(1.5,1.5)","Uniform","UCB","Unpooled",545.12,11.4131083217725
"10000","100","100","Beta(1.5,1.5)","Uniform","Thompson","Partial",298.88,13.1505907505544
"10000","100","100","Beta(1.5,1.5)","Uniform","Thompson","Pooled",1332.69,29.1289504660391
"10000","100","100","Beta(1.5,1.5)","Uniform","Thompson","Unpooled",432.14,14.9272394073354
"10000","100","500","Beta(1.5,1.5)","Uniform","EG","Partial",888.24,21.7976628528721
"10000","100","500","Beta(1.5,1.5)","Uniform","EG","Pooled",1428.49,17.8426325914441
"10000","100","500","Beta(1.5,1.5)","Uniform","EG","Unpooled",1153.43,20.3526539527633
"10000","100","500","Beta(1.5,1.5)","Uniform","UCB","Partial",851.01,12.2012497049606
"10000","100","500","Beta(1.5,1.5)","Uniform","UCB","Pooled",1445.66,16.3251966951735
"10000","100","500","Beta(1.5,1.5)","Uniform","UCB","Unpooled",846.61,11.7735647072358
"10000","100","500","Beta(1.5,1.5)","Uniform","Thompson","Partial",761.57,13.9029328207628
"10000","100","500","Beta(1.5,1.5)","Uniform","Thompson","Pooled",1425.72,17.7561649114127
"10000","100","500","Beta(1.5,1.5)","Uniform","Thompson","Unpooled",1062.83,13.1868564427657
"10000","100","1000","Beta(1.5,1.5)","Uniform","EG","Partial",995.79,19.3567282725426
